sl_no,g_symbol,g_id,g_st,g_ed,strand,trans_id,exon_no,exon_st,exon_ed,exon_sz
1,BRCA1,672,43170327,43044295,minus,NM_001408458.1,1,43170327,43170126,202
2,BRCA1,672,43170327,43044295,minus,NM_001408458.1,2,43115779,43115726,54
3,BRCA1,672,43170327,43044295,minus,NM_001408458.1,3,43106533,43106456,78
4,BRCA1,672,43170327,43044295,minus,NM_001408458.1,4,43104956,43104868,89
5,BRCA1,672,43170327,43044295,minus,NM_001408458.1,5,43104261,43104122,140
6,BRCA1,672,43170327,43044295,minus,NM_001408458.1,6,43099880,43099775,106
7,BRCA1,672,43170327,43044295,minus,NM_001408458.1,7,43097289,43097244,46
8,BRCA1,672,43170327,43044295,minus,NM_001408458.1,8,43095922,43095846,77
9,BRCA1,672,43170327,43044295,minus,NM_001408458.1,9,43094860,43094744,117
10,BRCA1,672,43170327,43044295,minus,NM_001408458.1,10,43091032,43090944,89
11,BRCA1,672,43170327,43044295,minus,NM_001408458.1,11,43082575,43082404,172
12,BRCA1,672,43170327,43044295,minus,NM_001408458.1,12,43076611,43076488,124
13,BRCA1,672,43170327,43044295,minus,NM_001408458.1,13,43074521,43074331,191
14,BRCA1,672,43170327,43044295,minus,NM_001408458.1,14,43071238,43070928,311
15,BRCA1,672,43170327,43044295,minus,NM_001408458.1,15,43067695,43067608,88
16,BRCA1,672,43170327,43044295,minus,NM_001408458.1,16,43063951,43063874,78
17,BRCA1,672,43170327,43044295,minus,NM_001408458.1,17,43063373,43063333,41
18,BRCA1,672,43170327,43044295,minus,NM_001408458.1,18,43057135,43057052,84
19,BRCA1,672,43170327,43044295,minus,NM_001408458.1,19,43051117,43051063,55
20,BRCA1,672,43170327,43044295,minus,NM_001408458.1,20,43049194,43049121,74
21,BRCA1,672,43170327,43044295,minus,NM_001408458.1,21,43047703,43047643,61
22,BRCA1,672,43170327,43044295,minus,NM_001408458.1,22,43045802,43044295,1508
23,BRCA1,672,43170327,43044295,minus,NM_001407967.1,1,43125364,43125277,88
24,BRCA1,672,43170327,43044295,minus,NM_001407967.1,2,43094860,43091435,3426
25,BRCA1,672,43170327,43044295,minus,NM_001407967.1,3,43091032,43090944,89
26,BRCA1,672,43170327,43044295,minus,NM_001407967.1,4,43082575,43082404,172
27,BRCA1,672,43170327,43044295,minus,NM_001407967.1,5,43076611,43076488,124
28,BRCA1,672,43170327,43044295,minus,NM_001407967.1,6,43074521,43074331,191
29,BRCA1,672,43170327,43044295,minus,NM_001407967.1,7,43071238,43070928,311
30,BRCA1,672,43170327,43044295,minus,NM_001407967.1,8,43067695,43067608,88
31,BRCA1,672,43170327,43044295,minus,NM_001407967.1,9,43063951,43063874,78
32,BRCA1,672,43170327,43044295,minus,NM_001407967.1,10,43063373,43063333,41
33,BRCA1,672,43170327,43044295,minus,NM_001407967.1,11,43057135,43057052,84
34,BRCA1,672,43170327,43044295,minus,NM_001407967.1,12,43051117,43051063,55
35,BRCA1,672,43170327,43044295,minus,NM_001407967.1,13,43049194,43049121,74
36,BRCA1,672,43170327,43044295,minus,NM_001407967.1,14,43047703,43047643,61
37,BRCA1,672,43170327,43044295,minus,NM_001407967.1,15,43045802,43044295,1508
38,BRCA1,672,43170327,43044295,minus,NM_001407959.1,1,43125364,43125277,88
39,BRCA1,672,43170327,43044295,minus,NM_001407959.1,2,43104956,43104868,89
40,BRCA1,672,43170327,43044295,minus,NM_001407959.1,3,43104261,43104122,140
41,BRCA1,672,43170327,43044295,minus,NM_001407959.1,4,43099880,43099775,106
42,BRCA1,672,43170327,43044295,minus,NM_001407959.1,5,43097289,43097244,46
43,BRCA1,672,43170327,43044295,minus,NM_001407959.1,6,43095922,43095846,77
44,BRCA1,672,43170327,43044295,minus,NM_001407959.1,7,43094860,43091435,3426
45,BRCA1,672,43170327,43044295,minus,NM_001407959.1,8,43091032,43090944,89
46,BRCA1,672,43170327,43044295,minus,NM_001407959.1,9,43082575,43082404,172
47,BRCA1,672,43170327,43044295,minus,NM_001407959.1,10,43076614,43076488,127
48,BRCA1,672,43170327,43044295,minus,NM_001407959.1,11,43074521,43074331,191
49,BRCA1,672,43170327,43044295,minus,NM_001407959.1,12,43071238,43070928,311
50,BRCA1,672,43170327,43044295,minus,NM_001407959.1,13,43067695,43067608,88
51,BRCA1,672,43170327,43044295,minus,NM_001407959.1,14,43063951,43063874,78
52,BRCA1,672,43170327,43044295,minus,NM_001407959.1,15,43063373,43063333,41
53,BRCA1,672,43170327,43044295,minus,NM_001407959.1,16,43057135,43057052,84
54,BRCA1,672,43170327,43044295,minus,NM_001407959.1,17,43051117,43051063,55
55,BRCA1,672,43170327,43044295,minus,NM_001407959.1,18,43049194,43049121,74
56,BRCA1,672,43170327,43044295,minus,NM_001407959.1,19,43047703,43047643,61
57,BRCA1,672,43170327,43044295,minus,NM_001407959.1,20,43045802,43044295,1508
58,BRCA1,672,43170327,43044295,minus,NM_001407931.1,1,43125364,43125277,88
59,BRCA1,672,43170327,43044295,minus,NM_001407931.1,2,43106533,43106456,78
60,BRCA1,672,43170327,43044295,minus,NM_001407931.1,3,43104956,43104868,89
61,BRCA1,672,43170327,43044295,minus,NM_001407931.1,4,43104261,43104122,140
62,BRCA1,672,43170327,43044295,minus,NM_001407931.1,5,43099877,43099775,103
63,BRCA1,672,43170327,43044295,minus,NM_001407931.1,6,43094860,43091435,3426
64,BRCA1,672,43170327,43044295,minus,NM_001407931.1,7,43091032,43090944,89
65,BRCA1,672,43170327,43044295,minus,NM_001407931.1,8,43082575,43082404,172
66,BRCA1,672,43170327,43044295,minus,NM_001407931.1,9,43076614,43076488,127
67,BRCA1,672,43170327,43044295,minus,NM_001407931.1,10,43074521,43074331,191
68,BRCA1,672,43170327,43044295,minus,NM_001407931.1,11,43071238,43070928,311
69,BRCA1,672,43170327,43044295,minus,NM_001407931.1,12,43067695,43067608,88
70,BRCA1,672,43170327,43044295,minus,NM_001407931.1,13,43063951,43063874,78
71,BRCA1,672,43170327,43044295,minus,NM_001407931.1,14,43063373,43063333,41
72,BRCA1,672,43170327,43044295,minus,NM_001407931.1,15,43057135,43057052,84
73,BRCA1,672,43170327,43044295,minus,NM_001407931.1,16,43051117,43051063,55
74,BRCA1,672,43170327,43044295,minus,NM_001407931.1,17,43049194,43049121,74
75,BRCA1,672,43170327,43044295,minus,NM_001407931.1,18,43047703,43047643,61
76,BRCA1,672,43170327,43044295,minus,NM_001407931.1,19,43045802,43044295,1508
77,BRCA1,672,43170327,43044295,minus,NM_001407747.1,1,43125364,43125277,88
78,BRCA1,672,43170327,43044295,minus,NM_001407747.1,2,43106533,43106456,78
79,BRCA1,672,43170327,43044295,minus,NM_001407747.1,3,43104956,43104868,89
80,BRCA1,672,43170327,43044295,minus,NM_001407747.1,4,43104261,43104122,140
81,BRCA1,672,43170327,43044295,minus,NM_001407747.1,5,43099877,43099775,103
82,BRCA1,672,43170327,43044295,minus,NM_001407747.1,6,43097289,43097244,46
83,BRCA1,672,43170327,43044295,minus,NM_001407747.1,7,43095922,43095846,77
84,BRCA1,672,43170327,43044295,minus,NM_001407747.1,8,43094860,43091435,3426
85,BRCA1,672,43170327,43044295,minus,NM_001407747.1,9,43091032,43090944,89
86,BRCA1,672,43170327,43044295,minus,NM_001407747.1,10,43082575,43082404,172
87,BRCA1,672,43170327,43044295,minus,NM_001407747.1,11,43076614,43076488,127
88,BRCA1,672,43170327,43044295,minus,NM_001407747.1,12,43074521,43074331,191
89,BRCA1,672,43170327,43044295,minus,NM_001407747.1,13,43071238,43070928,311
90,BRCA1,672,43170327,43044295,minus,NM_001407747.1,14,43067695,43067608,88
91,BRCA1,672,43170327,43044295,minus,NM_001407747.1,15,43063951,43063874,78
92,BRCA1,672,43170327,43044295,minus,NM_001407747.1,16,43063373,43063333,41
93,BRCA1,672,43170327,43044295,minus,NM_001407747.1,17,43057135,43057052,84
94,BRCA1,672,43170327,43044295,minus,NM_001407747.1,18,43051117,43051063,55
95,BRCA1,672,43170327,43044295,minus,NM_001407747.1,19,43049194,43049121,74
96,BRCA1,672,43170327,43044295,minus,NM_001407747.1,20,43047703,43047643,61
97,BRCA1,672,43170327,43044295,minus,NM_001407747.1,21,43045802,43044295,1508
98,BRCA1,672,43170327,43044295,minus,NM_001407962.1,1,43125364,43125277,88
99,BRCA1,672,43170327,43044295,minus,NM_001407962.1,2,43115779,43115726,54
100,BRCA1,672,43170327,43044295,minus,NM_001407962.1,3,43104956,43104868,89
101,BRCA1,672,43170327,43044295,minus,NM_001407962.1,4,43104261,43104122,140
102,BRCA1,672,43170327,43044295,minus,NM_001407962.1,5,43099877,43099775,103
103,BRCA1,672,43170327,43044295,minus,NM_001407962.1,6,43097289,43097244,46
104,BRCA1,672,43170327,43044295,minus,NM_001407962.1,7,43095922,43095846,77
105,BRCA1,672,43170327,43044295,minus,NM_001407962.1,8,43094860,43091435,3426
106,BRCA1,672,43170327,43044295,minus,NM_001407962.1,9,43091032,43090944,89
107,BRCA1,672,43170327,43044295,minus,NM_001407962.1,10,43082575,43082404,172
108,BRCA1,672,43170327,43044295,minus,NM_001407962.1,11,43076614,43076488,127
109,BRCA1,672,43170327,43044295,minus,NM_001407962.1,12,43074521,43074331,191
110,BRCA1,672,43170327,43044295,minus,NM_001407962.1,13,43071238,43070928,311
111,BRCA1,672,43170327,43044295,minus,NM_001407962.1,14,43067695,43067608,88
112,BRCA1,672,43170327,43044295,minus,NM_001407962.1,15,43063951,43063874,78
113,BRCA1,672,43170327,43044295,minus,NM_001407962.1,16,43063373,43063333,41
114,BRCA1,672,43170327,43044295,minus,NM_001407962.1,17,43057135,43057052,84
115,BRCA1,672,43170327,43044295,minus,NM_001407962.1,18,43051117,43051063,55
116,BRCA1,672,43170327,43044295,minus,NM_001407962.1,19,43049194,43049121,74
117,BRCA1,672,43170327,43044295,minus,NM_001407962.1,20,43047703,43047643,61
118,BRCA1,672,43170327,43044295,minus,NM_001407962.1,21,43045802,43044295,1508
119,BRCA1,672,43170327,43044295,minus,NM_001408512.1,1,43125364,43125277,88
120,BRCA1,672,43170327,43044295,minus,NM_001408512.1,2,43115779,43115726,54
121,BRCA1,672,43170327,43044295,minus,NM_001408512.1,3,43104956,43104868,89
122,BRCA1,672,43170327,43044295,minus,NM_001408512.1,4,43104261,43104122,140
123,BRCA1,672,43170327,43044295,minus,NM_001408512.1,5,43099880,43099775,106
124,BRCA1,672,43170327,43044295,minus,NM_001408512.1,6,43094860,43094744,117
125,BRCA1,672,43170327,43044295,minus,NM_001408512.1,7,43091032,43090944,89
126,BRCA1,672,43170327,43044295,minus,NM_001408512.1,8,43082575,43082404,172
127,BRCA1,672,43170327,43044295,minus,NM_001408512.1,9,43076614,43076488,127
128,BRCA1,672,43170327,43044295,minus,NM_001408512.1,10,43074521,43074331,191
129,BRCA1,672,43170327,43044295,minus,NM_001408512.1,11,43071238,43070928,311
130,BRCA1,672,43170327,43044295,minus,NM_001408512.1,12,43067695,43067608,88
131,BRCA1,672,43170327,43044295,minus,NM_001408512.1,13,43063951,43063874,78
132,BRCA1,672,43170327,43044295,minus,NM_001408512.1,14,43063373,43063333,41
133,BRCA1,672,43170327,43044295,minus,NM_001408512.1,15,43057135,43057052,84
134,BRCA1,672,43170327,43044295,minus,NM_001408512.1,16,43051117,43051063,55
135,BRCA1,672,43170327,43044295,minus,NM_001408512.1,17,43049194,43049121,74
136,BRCA1,672,43170327,43044295,minus,NM_001408512.1,18,43047703,43047643,61
137,BRCA1,672,43170327,43044295,minus,NM_001408512.1,19,43045802,43044295,1508
138,BRCA1,672,43170327,43044295,minus,NM_001408510.1,1,43125364,43125277,88
139,BRCA1,672,43170327,43044295,minus,NM_001408510.1,2,43115779,43115726,54
140,BRCA1,672,43170327,43044295,minus,NM_001408510.1,3,43104956,43104868,89
141,BRCA1,672,43170327,43044295,minus,NM_001408510.1,4,43104261,43104122,140
142,BRCA1,672,43170327,43044295,minus,NM_001408510.1,5,43099880,43099775,106
143,BRCA1,672,43170327,43044295,minus,NM_001408510.1,6,43097289,43097244,46
144,BRCA1,672,43170327,43044295,minus,NM_001408510.1,7,43095922,43095846,77
145,BRCA1,672,43170327,43044295,minus,NM_001408510.1,8,43094860,43094744,117
146,BRCA1,672,43170327,43044295,minus,NM_001408510.1,9,43091032,43090944,89
147,BRCA1,672,43170327,43044295,minus,NM_001408510.1,10,43082575,43082404,172
148,BRCA1,672,43170327,43044295,minus,NM_001408510.1,11,43076614,43076488,127
